gemcode,gemnaam,diflen,foutlen,wozlen,datetime,score
1586,Oost Gelre,110,3,15808,2019-06-06 16:44:23.832417+02:00,99.2852
826,Oosterhout,5,0,28940,2019-06-06 16:44:31.319381+02:00,99.9827
85,Ooststellingwerf,91,165,13494,2019-06-06 16:44:36.262534+02:00,98.1029
431,Oostzaan,2,0,4726,2019-06-06 16:44:40.160869+02:00,99.9577
432,Opmeer,457,284,5949,2019-06-06 16:44:44.044117+02:00,87.5441
86,Opsterland,121,4,13883,2019-06-06 16:44:54.520065+02:00,99.0996
828,Oss,867,2,45373,2019-06-06 16:45:09.184190+02:00,98.0848
1509,Oude IJsselstreek,4,7,20845,2019-06-06 16:45:15.474089+02:00,99.9472
437,Ouder-Amstel,0,1,7819,2019-06-06 16:45:20.408617+02:00,99.9872
589,Oudewater,15,0,5062,2019-06-06 16:45:24.503553+02:00,99.7037
1734,Overbetuwe,437,1,22156,2019-06-06 16:45:29.974233+02:00,98.0231
590,Papendrecht,0,0,15980,2019-06-06 16:45:34.649675+02:00,100.0
1894,Peel en Maas,6,2,21533,2019-06-06 16:45:41.258188+02:00,99.9628
765,Pekela,0,0,6290,2019-06-06 16:45:45.499933+02:00,100.0
1926,Pijnacker-Nootdorp,2,11,23900,2019-06-06 16:45:52.047319+02:00,99.9456
439,Purmerend,3,0,42614,2019-06-06 16:46:02.659475+02:00,99.993
273,Putten,18,7,11592,2019-06-06 16:46:07.256319+02:00,99.7843
177,Raalte,116,1,18183,2019-06-06 16:46:11.887255+02:00,99.3565
703,Reimerswaal,82,158,10608,2019-06-06 16:46:15.986525+02:00,97.7376
274,Renkum,10,0,16425,2019-06-06 16:46:20.751895+02:00,99.9391
339,Renswoude,0,0,2460,2019-06-06 16:46:24.197005+02:00,100.0
1667,Reusel-De Mierden,19,0,6156,2019-06-06 16:46:27.936372+02:00,99.6914
275,Rheden,1475,2,24187,2019-06-06 16:46:33.933825+02:00,93.8934
340,Rhenen,48,1,9340,2019-06-06 16:46:38.520211+02:00,99.4754
597,Ridderkerk,41,0,25699,2019-06-06 16:46:44.115076+02:00,99.8405
1742,Rijssen-Holten,608,174,17639,2019-06-06 16:46:48.951291+02:00,95.5666
603,Rijswijk,12,122,32868,2019-06-06 16:46:55.604078+02:00,99.5923
1669,Roerdalen,3,0,10927,2019-06-06 16:46:59.943033+02:00,99.9725
957,Roermond,9,0,32780,2019-06-06 16:47:07.901390+02:00,99.9725
1674,Roosendaal,2,0,41573,2019-06-06 16:47:16.286833+02:00,99.9952
599,Rotterdam,101,8,352043,2019-06-06 16:49:03.052173+02:00,99.969
277,Rozendaal,14,0,682,2019-06-06 16:49:07.128587+02:00,97.9472
840,Rucphen,16,0,11703,2019-06-06 16:49:11.882927+02:00,99.8633
441,Schagen,8,0,27822,2019-06-06 16:49:18.459204+02:00,99.9712
279,Scherpenzeel,0,0,4602,2019-06-06 16:49:20.055657+02:00,100.0
606,Schiedam,2,16,42080,2019-06-06 16:49:29.743737+02:00,99.9572
88,Schiermonnikoog,0,0,1354,2019-06-06 16:49:30.524023+02:00,100.0
1676,Schouwen-Duiveland,20,0,24587,2019-06-06 16:49:36.400174+02:00,99.9187
