gemcode,gemnaam,diflen,foutlen,wozlen,score,datetime,plaats
0453,Velsen,831,734,35881,95.6384,12-6-2019 14:49,298
1945,Berg en Dal,555,200,17214,95.614,12-6-2019 14:11,299
1742,Rijssen-Holten,608,174,17639,95.5666,12-6-2019 14:38,300
0797,Heusden,937,97,22215,95.3455,12-6-2019 14:25,301
1714,Sluis,951,3,20091,95.2516,12-6-2019 14:42,302
1966,Het Hogeland,1202,4,25288,95.2309,12-6-2019 14:25,303
1900,Sudwest-Fryslan,31,2592,54670,95.2021,12-6-2019 14:44,304
1740,Neder-Betuwe,501,23,10123,94.8237,12-6-2019 14:32,305
0867,Waalwijk,1360,3,25263,94.6048,12-6-2019 14:50,306
0716,Tholen,734,0,13033,94.3681,12-6-2019 14:45,307
0737,Tytsjerksteradiel,908,0,15680,94.2092,12-6-2019 14:46,308
0275,Rheden,1474,2,24187,93.8975,12-6-2019 14:37,309
0473,Zandvoort,1024,0,11214,90.8686,12-6-2019 14:53,310
0432,Opmeer,457,284,5949,87.5441,12-6-2019 14:36,311
